Time,Region0Window0,Region0Window1,Region0Window2,Region0Window3,Region0Window4,Region0Window5,Region0Window6,Region0Window7,Region0Window8,Region0Window9,Region0Window10,Region0Window11,Region0Window12,Region0Window13,Region0Window14,Region0Window15,Region0Window16,Region0Window17,Region0Window18,Region0Window19,Region0Window20,Region0Window21,Region0Window22,Region0Window23,Region0Window24,Region0Window25,Region0Window26,Region0Window27,Region0Window28,Region0Window29,Region0Window30,Region0Window31,Region0Window32,Region0Window33,Region0Window34,Region0Window35,Region0Window36,Region0Window37,Region0Window38,Region0Window39,Region0Window40,Region0Window41,Region0Window42,Region0Window43,Region0Window44,Region0Window45,Region0Window46,Region0Window47,Region0Window48,Region0Window49,Region0Window50,Region0Window51,Region0Window52,Region0Window53,Region0Window54,Region0Window55,Region0Window56,Region0Window57,Region0Window58,Region0Window59,Region1Window0,Region1Window1,Region1Window2,Region1Window3,Region1Window4,Region1Window5,Region1Window6,Region1Window7,Region1Window8,Region1Window9,Region1Window10,Region1Window11,Region1Window12,Region1Window13,Region1Window14,Region1Window15,Region1Window16,Region1Window17,Region1Window18,Region1Window19,Region1Window20,Region1Window21,Region1Window22,Region1Window23,Region1Window24,Region1Window25,Region1Window26,Region1Window27,Region1Window28,Region1Window29,Region1Window30,Region1Window31,Region1Window32,Region1Window33,Region1Window34,Region1Window35,Region1Window36,Region1Window37,Region1Window38,Region1Window39,Region1Window40,Region1Window41,Region1Window42,Region1Window43,Region1Window44,Region1Window45,Region1Window46,Region1Window47,Region1Window48,Region1Window49,Region1Window50,Region1Window51,Region1Window52,Region1Window53,Region1Window54,Region1Window55,Region1Window56,Region1Window57,Region1Window58,Region1Window59
1000,2.359490E-06,3.882250E-07,7.305554E-07,2.749021E-06,1.313308E-07,2.116369E-06,2.761495E-07,5.462323E-08,7.970541E-07,1.284110E-07,9.416062E-08,3.554735E-07,1.451075E-06,3.524844E-07,3.482816E-07,6.238310E-06,4.029897E-08,2.400585E-08,3.815554E-06,2.553855E-08,1.119343E-07,2.809240E-07,1.120834E-05,0.000000E+00,5.715274E-07,1.815355E-08,4.375590E-07,2.415647E-07,8.867577E-07,5.536423E-06,4.276307E-08,1.207748E-07,5.089765E-06,1.123696E-08,2.553855E-09,8.373537E-08,2.138850E-06,2.290646E-06,8.026735E-07,6.308889E-06,5.752627E-08,1.897086E-07,2.738352E-06,3.394468E-06,1.276927E-08,1.632332E-06,8.447290E-07,1.189213E-05,4.319665E-05,1.683609E-08,1.789874E-08,1.148037E-06,2.063242E-06,2.091696E-07,8.449420E-08,1.324682E-06,7.050568E-08,5.664860E-06,8.451895E-07,1.267025E-06,1.345286E-06,3.380473E-07,0.000000E+00,1.749873E-08,5.107710E-10,1.721600E-06,5.469715E-07,4.443248E-09,1.551269E-07,6.845938E-06,3.538048E-06,1.468130E-06,4.203088E-07,5.947763E-07,1.196942E-07,4.757607E-07,2.466939E-06,1.954291E-08,1.740552E-07,3.191531E-06,8.243929E-07,2.061602E-07,8.387939E-08,2.225879E-08,1.323746E-08,2.747175E-06,2.064040E-06,4.899639E-10,4.060607E-07,3.043421E-09,3.467380E-07,3.221647E-06,8.144812E-07,5.483989E-06,2.423030E-06,3.092747E-07,2.123344E-06,8.051097E-08,2.686262E-07,5.749229E-09,6.956031E-08,1.904740E-07,6.160747E-07,1.945545E-05,1.580850E-07,1.756326E-07,3.422202E-07,1.998132E-07,1.920022E-06,1.683424E-08,4.554580E-07,8.840478E-07,8.553080E-07,1.929032E-06,6.736214E-08,5.107710E-10,2.299070E-05,1.097148E-05,3.248481E-06,1.089718E-06
2000,5.477723E-06,9.818508E-10,2.315710E-06,2.423445E-06,8.144548E-08,5.977088E-06,9.533932E-06,3.848855E-07,9.073700E-06,7.836403E-07,7.163869E-06,4.909254E-10,5.112986E-08,2.335040E-06,3.644384E-08,2.546130E-05,1.383349E-07,1.331180E-08,9.489194E-07,3.064870E-08,1.114585E-07,4.001016E-09,6.388325E-06,3.988814E-10,1.847984E-07,3.303520E-06,7.130004E-07,5.602614E-09,3.081421E-07,1.218007E-05,4.514842E-07,9.872262E-06,5.991130E-08,2.411866E-07,1.200775E-07,3.700344E-08,4.418329E-09,1.675984E-05,7.547912E-09,4.756722E-06,7.893201E-07,8.583512E-07,2.191703E-05,4.060862E-07,4.623189E-07,1.092156E-05,3.516605E-06,2.798146E-06,2.885031E-06,2.621610E-09,5.360812E-07,2.273979E-06,9.844909E-07,2.280087E-06,9.427626E-07,2.430014E-08,1.964182E-06,7.605350E-06,7.955208E-06,4.909254E-10,2.398185E-06,4.909254E-10,6.872956E-09,2.284436E-07,1.134747E-06,3.903127E-06,8.161940E-07,7.199725E-08,4.428333E-07,3.860211E-06,1.895693E-08,1.619816E-05,5.237157E-06,6.097202E-06,4.105330E-07,2.666925E-06,3.684697E-08,5.768193E-06,3.291700E-06,8.062006E-07,1.805488E-06,2.591384E-08,4.909254E-10,1.435853E-06,3.904032E-05,1.235797E-07,2.000508E-09,2.303779E-06,2.804523E-07,5.893301E-06,1.829300E-06,8.840705E-06,9.958224E-10,4.012491E-07,6.345639E-07,5.070278E-08,1.429545E-06,1.268880E-05,3.768080E-05,1.312374E-05,3.417081E-08,2.482145E-07,5.824867E-06,7.100086E-06,2.037314E-09,4.583957E-09,7.617340E-07,4.507459E-07,1.698602E-07,8.514064E-07,2.518447E-07,8.904928E-07,4.995818E-07,4.838680E-07,8.401957E-09,3.396132E-07,3.569011E-07,3.237283E-06,1.853230E-08,8.549070E-07
3000,1.524168E-06,2.173713E-07,1.516279E-08,2.160442E-06,1.375243E-07,3.328673E-06,9.282144E-08,1.323166E-06,3.182425E-07,6.594074E-06,9.368234E-07,5.268205E-07,2.781977E-07,4.511634E-07,5.019188E-07,2.413575E-07,1.264246E-07,8.536944E-08,1.561802E-06,3.093352E-08,5.712325E-07,2.386957E-07,3.673996E-06,3.386912E-07,0.000000E+00,4.769769E-07,9.815907E-08,4.293583E-07,1.886291E-08,2.652401E-05,5.625888E-07,1.417918E-06,1.518827E-07,2.181060E-07,1.353223E-07,1.323640E-08,8.928988E-07,1.038961E-05,4.047834E-06,1.012324E-08,9.318949E-06,3.570934E-06,3.774806E-05,9.440967E-05,1.487175E-07,4.652460E-07,2.540818E-05,7.892433E-07,1.083810E-07,4.097392E-08,2.471250E-09,5.548333E-07,4.942501E-10,2.800345E-05,1.503820E-07,7.431521E-07,4.554189E-05,2.124404E-05,4.055272E-07,1.543766E-06,1.785223E-07,1.240424E-05,2.250799E-05,2.033520E-07,5.058509E-09,0.000000E+00,1.073769E-06,6.456876E-07,1.977000E-09,9.792692E-06,1.119109E-06,8.217861E-05,5.769072E-06,1.353424E-05,3.808305E-06,4.451046E-07,5.064564E-10,3.173999E-06,8.298217E-07,5.058509E-10,4.712225E-07,7.460549E-05,1.636254E-05,1.806491E-05,4.410056E-06,1.113234E-05,3.586635E-07,4.297079E-06,1.567495E-05,1.346088E-06,3.992200E-05,1.822219E-05,1.477103E-05,3.818651E-07,1.836346E-07,1.463942E-06,9.165604E-08,5.561755E-09,7.433634E-07,8.147726E-06,9.310757E-07,4.217855E-06,4.355364E-06,5.313343E-05,1.869236E-06,4.224835E-06,1.747818E-07,4.053514E-07,2.023403E-09,1.363477E-08,5.857916E-07,1.692246E-06,3.912947E-07,1.626652E-05,2.804075E-06,1.252802E-05,3.237445E-08,2.746612E-07,1.817888E-05,1.656647E-06
4000,9.217967E-05,5.337423E-06,2.121425E-06,1.014858E-05,1.764728E-06,2.302091E-05,9.715443E-10,8.104271E-06,4.342461E-06,2.326903E-06,5.033661E-06,4.651908E-06,4.215921E-06,6.847624E-08,2.505749E-05,1.675785E-06,1.888633E-06,5.510017E-08,5.202317E-06,3.385099E-06,3.428162E-06,6.051511E-06,1.243897E-05,7.016141E-07,1.858699E-07,7.346658E-07,2.426648E-08,6.656792E-08,2.103439E-07,2.173687E-05,2.023009E-05,1.980937E-09,8.794121E-06,1.043518E-07,1.733320E-08,3.023613E-07,1.401456E-07,8.045984E-06,1.016218E-05,6.636721E-07,1.885731E-08,4.601807E-09,5.324115E-05,4.129778E-10,4.884330E-05,5.182676E-05,2.284185E-08,1.777116E-08,2.165297E-07,1.218761E-07,4.076149E-07,2.051042E-07,2.045315E-07,1.801360E-06,3.626509E-07,4.952343E-10,3.471531E-06,1.603214E-05,3.670965E-07,5.048348E-10,2.418297E-06,2.576034E-06,4.280469E-06,1.000069E-09,9.309532E-07,5.048348E-10,7.280905E-08,1.158064E-06,3.271001E-07,3.213306E-09,2.663762E-06,4.865416E-05,6.009229E-07,1.207935E-05,2.836335E-06,1.445855E-06,3.965655E-07,8.941372E-05,3.980688E-07,3.066235E-07,6.545114E-06,3.278627E-07,9.182921E-07,1.967174E-05,4.634389E-05,1.586433E-06,6.467982E-07,6.041162E-06,1.104403E-06,3.077637E-05,7.124313E-05,6.822000E-06,1.289905E-07,1.557323E-07,1.992049E-06,1.135218E-08,4.952343E-10,2.189357E-06,1.458973E-07,6.858876E-06,1.002535E-07,1.867530E-05,2.383272E-06,4.081143E-06,3.584153E-06,6.072476E-06,3.489173E-06,1.224260E-06,2.847140E-07,7.865373E-07,3.892076E-07,0.000000E+00,6.453426E-08,1.180113E-07,8.779452E-07,3.444286E-06,5.309960E-07,5.009453E-06,1.081568E-05,1.520119E-05
5000,2.687540E-05,2.438065E-05,9.826069E-07,1.007426E-06,1.080264E-06,1.041857E-05,3.774108E-07,1.123258E-05,4.432102E-07,6.892293E-06,7.011694E-07,8.831492E-06,5.586834E-06,2.233718E-06,4.601019E-06,3.348173E-06,1.603084E-05,1.183798E-06,4.211734E-06,3.718742E-07,1.485280E-05,0.000000E+00,3.579635E-06,4.087831E-06,1.096942E-06,2.523078E-06,1.652563E-06,1.610893E-07,1.401172E-07,7.219247E-05,7.238926E-06,0.000000E+00,2.248754E-07,1.838217E-08,1.915634E-07,2.463185E-07,4.528939E-09,5.453531E-06,1.086197E-05,9.544283E-06,5.032154E-10,6.340892E-07,3.356495E-06,1.198458E-06,2.843205E-05,8.170395E-05,1.743233E-06,3.824589E-07,9.936306E-08,1.693091E-07,1.166250E-05,2.992987E-06,1.399790E-05,1.891801E-07,1.032171E-07,0.000000E+00,1.986429E-05,7.141219E-07,8.261163E-06,2.696825E-06,6.397812E-06,2.055709E-05,2.198589E-05,3.346810E-08,5.400323E-09,1.593221E-08,3.972842E-08,9.192261E-06,1.291720E-08,1.828183E-05,1.749474E-06,3.620858E-06,2.093109E-06,3.775656E-06,5.219056E-07,2.065116E-06,6.873623E-08,3.532712E-07,1.717361E-08,7.620773E-07,4.255237E-06,1.938118E-06,1.835559E-06,9.262398E-11,1.820045E-06,1.821032E-06,3.172980E-07,2.578999E-06,4.968153E-10,3.800402E-06,2.013742E-07,3.274558E-06,8.213342E-06,1.334263E-05,1.604428E-06,9.380840E-07,1.437933E-06,1.425656E-06,3.350254E-07,2.583314E-08,1.087197E-07,3.498723E-07,4.994858E-07,3.113851E-06,3.137985E-06,7.430188E-06,2.425269E-06,3.022535E-09,2.163825E-07,6.933137E-08,1.474830E-07,2.379389E-07,2.009372E-07,1.765697E-05,2.819994E-06,4.832385E-05,1.662138E-06,6.501905E-08,1.068616E-05,3.671735E-06
6000,1.713510E-07,1.449929E-05,6.842387E-08,2.363596E-05,4.047434E-07,2.618516E-05,5.165108E-06,4.254868E-06,9.077120E-06,1.299957E-05,1.873630E-06,1.079119E-05,5.049684E-06,7.934321E-07,1.492393E-05,3.012282E-05,3.051488E-06,1.165381E-05,7.367023E-06,2.998591E-07,1.434297E-05,8.656506E-07,9.264348E-07,3.729261E-07,6.513989E-06,1.076476E-07,4.458611E-06,1.998431E-06,2.102985E-05,2.415519E-05,3.314733E-06,1.841100E-08,4.306624E-07,3.258558E-09,2.783793E-08,1.146815E-07,1.151466E-06,1.889326E-07,8.321286E-06,2.252129E-05,3.359525E-08,2.410478E-09,1.069484E-05,4.922160E-06,1.251354E-05,7.249971E-05,7.489640E-06,2.352545E-07,4.618327E-07,9.549771E-07,1.712506E-08,8.461926E-07,2.104506E-05,1.043615E-06,9.045703E-09,1.978154E-06,6.942926E-05,4.820957E-10,7.251202E-06,1.094827E-06,7.582249E-07,1.191760E-06,4.561206E-05,9.607375E-06,5.993416E-06,9.548139E-08,2.247911E-08,2.220064E-06,1.340280E-06,2.447080E-05,1.834542E-06,6.995286E-06,7.351697E-07,7.946767E-06,3.907114E-06,5.146453E-08,6.048654E-07,5.943668E-06,7.929821E-07,2.254512E-06,4.364384E-06,4.171464E-05,4.361843E-06,3.574500E-06,2.677219E-06,1.812634E-08,1.737509E-05,8.556348E-06,1.449096E-07,1.010649E-04,1.036202E-07,1.457214E-06,3.342952E-05,9.052475E-05,1.560679E-07,5.567661E-06,1.564879E-05,1.072542E-06,1.530307E-06,2.928960E-06,6.021009E-07,1.065482E-07,1.249489E-05,1.163427E-05,2.035055E-07,1.589551E-09,2.605462E-06,8.302729E-09,2.441158E-06,3.529952E-07,7.343252E-06,6.264440E-07,3.272548E-07,1.412459E-05,1.157199E-05,3.249510E-06,7.630670E-06,8.487591E-08,4.141066E-06,1.007114E-06
7000,1.041931E-05,1.428112E-06,6.132192E-07,5.549739E-06,3.295227E-07,4.640704E-05,1.345299E-04,2.425120E-05,1.576951E-07,3.950423E-07,8.910629E-06,2.519109E-09,1.395109E-05,9.233457E-06,5.764045E-07,9.179100E-05,4.006109E-06,3.433137E-06,3.796465E-06,9.338576E-06,2.314379E-05,9.739700E-08,6.996282E-08,5.278342E-06,5.038218E-10,3.476370E-08,1.579972E-06,8.604290E-06,5.784026E-09,6.559519E-06,5.568500E-06,1.462740E-07,9.426734E-07,1.859512E-05,1.813758E-08,8.916932E-09,1.463930E-07,0.000000E+00,6.372257E-05,4.478011E-05,1.464977E-07,2.962216E-09,4.882816E-05,6.959307E-07,5.041027E-06,1.037363E-06,1.949998E-06,4.962216E-10,1.980821E-06,1.609127E-06,2.615925E-06,1.058887E-07,1.425729E-05,6.259461E-07,1.321471E-05,1.536314E-08,3.088991E-05,7.788069E-07,3.455090E-06,1.009613E-06,2.071039E-05,1.890887E-08,6.472568E-07,2.116045E-07,2.940215E-06,9.313837E-08,1.464221E-07,1.260524E-05,2.172693E-05,4.291141E-05,4.534396E-09,2.524336E-05,1.542733E-05,3.800678E-07,1.329183E-06,5.189415E-06,1.863381E-08,1.403551E-05,2.134193E-06,5.030617E-09,7.073959E-06,4.974140E-06,1.346308E-05,2.231651E-08,3.511317E-06,2.755852E-06,1.437964E-05,1.462592E-06,8.111297E-07,2.090219E-05,0.000000E+00,6.493567E-06,1.838860E-06,2.655237E-05,1.641152E-06,1.239829E-05,6.942895E-08,7.360481E-08,6.448179E-07,2.432919E-05,2.288063E-05,3.486366E-05,5.800976E-06,1.326065E-05,8.928940E-07,1.697337E-06,1.182340E-05,4.246929E-06,9.710503E-07,1.788409E-07,2.572191E-06,2.225505E-06,8.276464E-07,4.977633E-07,4.127510E-06,2.863086E-08,3.903656E-06,4.906992E-08,6.150952E-07,7.679974E-07
8000,6.510543E-05,0.000000E+00,2.192298E-05,2.910064E-06,1.373607E-06,2.476728E-05,6.664407E-06,4.591066E-05,5.163705E-07,6.797849E-07,1.668923E-06,1.784129E-06,5.726597E-06,4.338626E-05,2.306743E-08,1.820300E-06,5.281130E-05,7.390891E-07,1.066443E-05,1.487983E-07,1.639962E-05,1.782574E-06,1.115065E-07,7.768209E-06,5.493976E-07,5.931004E-07,2.181243E-07,1.787875E-05,1.032788E-07,1.691371E-07,3.548494E-06,1.341775E-06,1.412224E-08,2.008475E-05,8.946170E-06,6.272617E-07,2.095030E-06,3.518399E-07,9.234573E-06,2.439789E-05,1.520660E-06,5.360145E-07,2.236524E-07,2.711963E-06,1.150890E-06,1.449467E-05,4.280691E-06,5.490457E-06,1.952888E-08,6.354252E-06,4.840022E-10,1.430050E-05,1.262955E-05,2.814645E-06,7.965728E-07,6.015529E-07,2.305673E-06,1.514209E-08,1.566737E-05,6.545029E-07,5.159284E-06,2.455209E-06,4.917765E-06,7.466617E-09,5.092583E-06,2.470571E-06,1.617704E-06,1.632594E-05,1.423484E-05,8.132174E-05,7.224858E-09,2.085830E-06,1.817581E-06,1.889015E-07,8.213939E-07,5.089559E-08,1.025396E-08,3.634694E-05,7.914199E-08,2.169311E-07,3.808322E-06,2.180350E-05,6.867711E-06,1.183635E-06,6.254072E-07,4.401337E-07,5.291798E-06,0.000000E+00,3.533727E-07,1.792289E-04,1.535170E-06,2.272168E-07,6.112221E-06,7.480487E-05,9.029023E-07,3.877203E-05,2.785702E-07,5.560748E-06,1.671536E-05,6.472046E-06,9.783389E-06,7.723637E-07,4.818751E-05,3.344296E-07,2.435815E-07,7.238250E-07,2.489739E-05,1.767161E-06,9.282067E-06,1.014449E-07,1.192069E-05,5.870885E-06,4.834239E-10,8.148379E-06,4.484092E-06,1.441412E-07,2.298889E-08,6.431229E-08,4.250952E-05,2.289567E-08
9000,9.502835E-06,1.151417E-05,1.147029E-04,1.032495E-05,9.888934E-10,1.136793E-05,6.669152E-06,1.627579E-05,4.967048E-10,1.265784E-07,1.662920E-06,1.021180E-05,1.264118E-08,4.579606E-06,1.115243E-06,9.792327E-08,6.784381E-06,7.488282E-05,5.182552E-06,1.513621E-06,1.135604E-06,5.795595E-08,1.091345E-07,1.527111E-05,8.549337E-07,3.366718E-08,1.653740E-05,3.535956E-06,1.243026E-06,1.783025E-05,2.389081E-05,6.036297E-07,1.494541E-09,5.056474E-10,1.983565E-05,2.680553E-07,2.692102E-06,1.124137E-08,2.468841E-05,8.405594E-09,1.681555E-06,3.997931E-08,3.571335E-05,1.058026E-06,2.292370E-06,5.927470E-06,4.186793E-08,2.520638E-07,3.819117E-06,2.938423E-07,8.860368E-07,5.222161E-07,4.323395E-06,3.941785E-07,2.876409E-05,4.005563E-05,1.043279E-06,3.042140E-06,4.181023E-05,5.056474E-10,8.748509E-06,4.761860E-06,5.601567E-07,2.592624E-06,3.708350E-08,2.100208E-06,1.145363E-06,1.746227E-05,7.798675E-06,1.662805E-05,5.386777E-07,3.946885E-05,6.515580E-06,2.297600E-06,4.944467E-10,4.777441E-06,6.364587E-08,4.539825E-08,1.795055E-06,2.179567E-07,2.225210E-06,1.739833E-05,9.640367E-06,9.694841E-06,5.040276E-07,2.533385E-05,2.297343E-06,1.947473E-08,1.363536E-06,7.256460E-05,5.933100E-06,2.702532E-05,3.883214E-05,5.387555E-06,2.729399E-06,1.082267E-05,4.697845E-06,1.977787E-09,1.328289E-06,5.165269E-06,1.334090E-06,2.543203E-06,2.083869E-07,3.823354E-07,3.023436E-09,1.875253E-06,1.328512E-05,1.300574E-06,0.000000E+00,1.172241E-07,4.562011E-06,1.307502E-07,7.581417E-07,8.812666E-06,1.926227E-07,3.528331E-09,3.501937E-08,9.952562E-07,8.896482E-06,6.104683E-07
10000,4.621684E-05,1.247350E-06,2.536818E-05,2.787223E-05,3.346491E-08,3.969025E-05,3.954522E-08,9.577446E-09,3.173183E-07,1.117589E-06,2.453684E-07,4.056503E-06,4.505787E-07,2.798824E-07,3.809730E-07,7.103585E-07,1.468668E-05,4.594904E-06,2.634091E-06,3.336605E-05,1.643244E-06,1.590722E-06,1.258191E-06,5.245219E-06,4.214834E-08,1.335517E-06,3.527548E-05,3.755514E-07,0.000000E+00,3.662789E-05,7.557583E-07,5.098188E-09,1.129594E-06,6.811546E-09,2.503815E-05,1.050842E-06,2.050527E-06,7.403683E-06,1.471338E-04,8.160962E-07,4.213922E-06,1.302980E-07,4.140991E-05,1.397666E-06,6.669988E-07,3.099059E-06,8.416404E-08,6.518631E-06,5.388549E-07,2.404867E-06,3.124676E-08,4.609976E-09,1.300636E-06,1.836521E-05,1.449935E-05,1.378433E-05,1.913512E-06,4.003343E-08,2.207636E-05,2.309946E-08,2.180330E-05,9.947114E-06,1.636751E-07,1.331771E-08,2.379857E-08,1.556201E-06,1.480120E-06,6.399738E-06,7.427183E-08,1.578341E-05,3.988656E-06,1.083154E-04,2.153657E-06,1.900783E-05,1.106875E-06,3.535828E-06,5.245110E-09,4.882126E-10,4.025805E-07,8.218847E-09,5.484844E-07,2.368078E-05,2.727947E-06,2.668519E-05,5.431370E-08,2.994298E-06,1.331771E-08,2.859745E-06,7.939402E-08,8.413005E-05,6.598699E-07,1.508045E-05,6.665247E-06,4.656163E-05,1.167140E-06,6.872505E-07,2.048878E-09,1.024439E-09,7.894843E-06,2.762773E-06,3.955385E-07,9.257839E-05,1.298556E-06,7.650158E-06,7.075045E-09,7.567659E-07,1.557927E-06,6.275025E-07,1.533073E-06,9.700872E-06,3.754390E-05,1.329370E-08,2.187071E-06,9.466446E-07,2.429966E-06,1.842953E-05,1.891367E-07,8.300080E-06,5.474596E-05,3.406993E-05
