time,totalVariable,Region0Window0,Region0Window1,Region0Window2,Region0Window3,Region0Window4,Region0Window5,Region0Window6,Region0Window7,Region0Window8,Region0Window9,Region0Window10,Region0Window11,Region0Window12,Region0Window13,Region0Window14,Region0Window15,Region0Window16,Region0Window17,Region0Window18,Region0Window19,Region0Window20,Region0Window21,Region0Window22,Region0Window23,Region0Window24,Region0Window25,Region0Window26,Region0Window27,Region0Window28,Region0Window29,Region0Window30,Region0Window31,Region0Window32,Region0Window33,Region0Window34,Region0Window35,Region0Window36,Region0Window37,Region0Window38,Region0Window39,Region0Window40,Region0Window41,Region0Window42,Region0Window43,Region0Window44,Region0Window45,Region0Window46,Region0Window47,Region0Window48,Region0Window49,Region0Window50,Region0Window51,Region0Window52,Region0Window53,Region0Window54,Region0Window55,Region0Window56,Region0Window57,Region0Window58,Region0Window59,Region1Window0,Region1Window1,Region1Window2,Region1Window3,Region1Window4,Region1Window5,Region1Window6,Region1Window7,Region1Window8,Region1Window9,Region1Window10,Region1Window11,Region1Window12,Region1Window13,Region1Window14,Region1Window15,Region1Window16,Region1Window17,Region1Window18,Region1Window19,Region1Window20,Region1Window21,Region1Window22,Region1Window23,Region1Window24,Region1Window25,Region1Window26,Region1Window27,Region1Window28,Region1Window29,Region1Window30,Region1Window31,Region1Window32,Region1Window33,Region1Window34,Region1Window35,Region1Window36,Region1Window37,Region1Window38,Region1Window39,Region1Window40,Region1Window41,Region1Window42,Region1Window43,Region1Window44,Region1Window45,Region1Window46,Region1Window47,Region1Window48,Region1Window49,Region1Window50,Region1Window51,Region1Window52,Region1Window53,Region1Window54,Region1Window55,Region1Window56,Region1Window57,Region1Window58,Region1Window59
1000,423,5,4,4,3,3,3,1,3,4,2,4,5,4,4,2,2,3,4,3,2,2,3,2,0,5,4,2,4,3,5,6,3,4,3,2,2,5,6,3,4,3,4,6,4,1,3,4,5,4,3,3,5,5,3,3,6,2,1,1,3,5,5,0,1,1,4,6,3,7,5,5,5,3,3,6,5,2,2,6,3,5,5,7,1,1,6,3,2,5,3,6,3,5,4,3,3,2,4,2,5,3,5,2,3,2,4,3,2,4,3,3,4,2,3,3,1,5,6,6,5
2000,424,3,2,5,3,5,2,3,1,2,3,1,1,2,5,5,5,6,3,4,4,3,2,6,2,3,3,2,3,7,5,3,4,2,6,3,4,1,6,4,7,5,1,4,4,6,5,5,5,5,2,5,3,5,5,5,2,5,4,5,1,2,1,3,3,2,3,3,4,4,3,3,4,3,4,2,4,3,2,4,4,2,3,1,5,7,7,4,6,5,6,5,4,2,1,4,4,3,2,5,6,3,1,1,4,1,1,4,3,2,3,3,2,3,3,2,4,6,5,4,3
3000,446,4,5,2,4,2,3,3,6,3,1,3,4,2,5,5,6,3,6,5,4,4,3,7,2,0,3,3,2,3,5,2,3,4,5,5,1,4,3,3,2,6,3,7,6,3,3,3,3,4,1,2,3,1,6,4,2,3,6,4,3,3,4,8,3,2,0,4,4,1,4,6,6,3,2,4,3,2,6,6,1,2,7,3,7,5,6,2,4,2,6,3,7,4,3,4,3,4,2,1,5,1,5,4,5,6,6,4,4,1,3,5,9,2,4,3,4,1,3,5,6
4000,456,3,3,5,7,3,6,2,3,4,5,2,3,4,1,4,5,4,4,3,3,4,4,8,5,4,6,1,4,6,4,5,1,3,4,3,6,7,3,2,3,4,3,6,1,2,4,4,1,1,4,3,3,5,7,2,1,4,5,4,1,5,4,4,2,3,1,4,2,4,4,3,7,3,3,4,4,2,4,5,5,5,2,1,6,5,4,2,5,3,6,7,4,3,3,3,1,1,3,2,5,3,5,3,3,6,1,2,5,6,6,4,0,4,8,8,9,4,6,2,5
5000,483,4,4,4,8,6,4,4,4,7,5,6,1,5,4,7,2,5,6,6,3,4,0,8,2,3,7,5,2,4,5,5,0,2,2,5,4,1,6,7,5,1,6,6,2,3,7,5,5,2,4,5,5,4,3,2,0,4,3,4,5,5,10,6,2,1,1,5,5,2,5,4,4,3,8,4,4,3,5,2,5,2,4,2,1,4,3,2,4,1,8,3,4,5,2,5,8,3,5,3,2,3,6,6,7,5,2,4,3,2,4,1,1,3,8,5,6,2,3,4,5
6000,523,5,3,4,7,4,7,3,3,9,4,5,5,4,4,3,3,6,6,11,3,3,6,2,5,2,4,4,6,4,3,7,3,1,1,6,2,6,6,4,6,2,2,6,7,5,3,4,6,9,4,4,5,3,5,4,4,8,1,5,5,3,3,7,4,4,5,4,4,5,5,4,4,5,6,5,3,4,7,5,6,2,4,3,4,6,2,3,4,2,3,2,3,7,4,2,5,4,3,5,5,4,6,7,3,2,1,4,1,7,6,3,5,4,7,4,4,3,2,7,5
7000,466,3,4,5,3,4,4,2,7,3,3,4,2,3,3,5,4,3,2,3,3,4,3,3,2,1,3,4,4,3,5,4,2,2,6,1,3,4,0,5,6,2,3,3,4,2,5,3,1,3,6,5,3,6,3,4,4,3,5,6,6,3,4,4,6,6,6,4,5,6,9,1,7,5,5,1,2,2,6,4,2,5,4,6,3,4,4,5,4,3,8,0,2,4,5,4,5,3,2,6,4,3,3,6,4,5,4,4,1,2,4,5,5,4,5,7,3,6,5,4,5
8000,468,6,0,3,4,4,3,5,6,1,5,3,6,6,4,3,2,2,3,3,1,4,4,4,6,5,6,3,3,3,3,5,2,3,3,6,5,2,3,5,6,4,6,3,3,1,3,1,6,2,3,2,6,3,5,4,3,6,2,5,5,1,5,6,3,7,3,6,4,5,5,3,5,2,5,3,3,5,5,5,5,5,8,6,6,6,4,4,0,1,4,4,2,4,6,2,7,1,4,3,8,6,4,4,5,4,1,4,2,4,3,4,4,1,4,7,6,3,1,4,2
9000,475,6,5,5,4,2,4,5,2,2,1,3,5,1,2,4,3,3,4,7,5,3,3,2,5,5,2,7,3,5,4,5,5,3,1,4,2,5,2,4,2,4,3,3,5,6,2,3,4,4,7,7,5,10,2,7,4,5,3,5,1,3,5,6,4,3,3,8,4,2,5,5,6,9,4,1,5,3,2,4,3,5,3,4,4,4,5,4,3,3,7,4,6,3,3,3,5,4,1,7,7,1,2,1,5,3,4,4,4,0,5,3,4,5,3,3,4,3,4,8,4
10000,469,6,6,5,5,2,3,1,1,2,5,5,6,5,4,5,3,5,2,3,3,4,6,3,6,1,7,2,4,0,6,3,2,5,3,5,5,3,1,6,4,3,5,4,5,4,6,3,3,4,2,2,1,3,5,6,6,3,2,6,1,4,4,3,2,5,4,6,5,2,4,2,7,4,3,2,3,2,1,3,2,5,3,5,7,4,6,3,2,5,8,3,3,6,4,2,5,1,2,7,5,5,3,2,4,3,5,5,2,2,9,4,2,3,4,5,7,2,9,7,5
